Доктора,Наиболее встречающаяся симптоматика,Наиболее встречающиеся анализы
Отоларинголог,"{' боль в горле или области лица', ' болезненность языка', ' воспаление миндалин', ' шум в ушах', ' выделение из носа и ушей', ' заложенность носа', 'нарушение дыхания'}",{'Общий анализ крови и мочи'}
Кардиолог,"{' нарушение пульса', ' повышение или понижение давления', ' одышка', ' боли в области сердца', 'боли в груди', ' биения', ' вялость'}","{' Аспартатаминотрансфераза', ' Анализ крови на глюкозу (определение уровня сахара в организме)', ' Креатинин и мочевина', ' Аланинаминотрансфераза и гама-глютамлтрансфераза', ' Общий анализ мочи', ' Биохимический анализ крови', ' ЛПВП', ' Общий анализ крови', ' Свежая электрокардиограмма (ЭКГ)', 'Общий анализ на холестерин'}"
Пластический хирург,"{' глубокие морщины', ' ""заячья губа""', ' облысение', 'ожоги', ' лишний вес'}","{' Консультация терапевта', ' Анализ крови на ЗППП', ' Биохимия крови', ' Мазок на я/г', ' УЗИ молочных желез', ' КТ нос + пазухи', ' Резус-фактор', ' Коагулограмма', ' Группа крови', ' Общий анализ мочи', ' Флюорограмма', ' Тест на коронавирус', ' ЭКГ с расшифровкой', 'Общий анализ крови с лейкоцитарной формулой тромбоцитами и СОЭ'}"
Диетолог,"{' гормональные нарушения', 'избыточный или недостаточный вес', ' сахарный диабет', ' нарушения аппетита', ' пониженный иммунитет'}","{' Анализ на содержание глюкозы в крови', ' Биохимический анализ крови', 'Общий развернутый анализ крови', ' Анализ на гормон кортизол', ' Т3 и Т4)', ' Анализ крови на гликированный гемоглобин', 'Анализ на гормоны щитовидной железы (ТТГ', ' Ферментативный анализ работы поджелудочной железы'}"
Гинеколог,"{' боли при мочеиспускании', 'зуд', ' нарушения менструального цикла', ' боли в области придатков', ' выделения в половых органах', ' жжение в половых органах'}","{' Анализ крови на онкомаркеры', ' ПЦР', ' Исследования крови (общий и биохимический анализ крови/анализ на гепатит/ВИЧ/сифилис)', 'Мазок'}"
Венеролог,"{'зуд', ' специфическими выделениями с неприятным запахом', ' покраснение', ' жжение в половых органах'}","{'Бакпосев (культуральный метод)', ' ИФА (иммуноферментный анализ)', ' ПЦР (полимеразная цепная реакция)'}"
Репродуктолог,{'не удается забеременеть в течение длительного времени'},"{' Спермограмма и MAR-тест', 'Ультразвуковое исследование (УЗИ)', ' Анализ крови на половые гормоны', ' Гистеросальпингография', ' Мазок обычный (на флору) и мазок на скрытые инфекции (ПЦР-диагностика)'}"
Аритмолог,"{' учащенное и замедленное сердцебиение', 'патологические нарушения сердечного ритма разной степени интенсивности'}","{' Кардиориск', 'Общий анализ крови', ' Общий анализ мочи', ' Диагностика атеросклероза'}"
Сексолог,"{' боли во время полового акта', ' боли при мастурбации', ' отсутствие удовольствия во время полового акта', 'отсутствие сексуального влечения', ' отсутствие оргазма'}","{'Общий и клинический анализы крови', ' Анализ крови на гормоны', ' УЗИ щитовидной железы'}"
Нефролог,"{' прекращение или сокращение мочеиспускания', ' боли в поясничном отделе', 'наличие крови или белка в моче'}","{' Компьютерную томографию почек (КТ)', ' Офтальмоскопию (осмотр глазного дна)', ' УЗИ почек/мочевого тракта и органов брюшной полости', ' Ангиографическое исследование при поражении сосудов', ' Экскреторную урографию и посев мочи', ' Магнитно-резонансную томографию почек (МРТ)', ' Сцинтиграфию (радионуклидную медицину)', ' Рентгенологическое исследование почек', ' Радиоизотопное исследование почек', 'Биохимический анализ крови/моч', ' Биопсию почки'}"
Хирург,"{'последствиями травм (болезней)', ' ожоги', ' долго не заживающие раны', ' гнойники', ' порезы', ' изменение цвета кожи', ' кровотечения'}","{' Коагулограмма', ' Определение группы крови и резус-фактора', ' Клинический (общий) анализ крови', ' Рентгенография грудной клетки с описанием', 'Общий анализ мочи', ' ЭКГ с расшифровкой', ' Биохимический анализ крови (глюкоза/общий белок/билирубин общий и прямой/АЛТ/АСТ/ЩФ/креатинин и т.п.)', ' Анализ крови на Гепатит В/С/ВИЧ/сифилис'}"
Ревматолог,"{' подкожные узлы', ' набухание и отечность височных артерий', ' боли в коленях', ' дискомфорт и боли в пояснице', ' ограничение движений', ' боли и отек в суставах', 'ощущение скованности'}","{' Анализ на онкомаркеры', ' Анализ на  D-димеры', ' Анализ на тропонины', ' Микроскопическое исследование спинномозговой жидкости', ' Определение в крови антител к вирусным гепатитам', ' Гистологическое исследование биоптата', ' Коагулограмма', ' Антицитруллиновые антитела', ' Цитологическое и бактериологическое исследование соскоба уретры и цервикального канала', ' Анализы на антиген HLA-B27', ' Определение уровня паратгормона в крови', ' Цитологическое исследование пунктата суставной полости', ' Определение уровня витамина Д в крови', ' Исследование крови на ВИЧ', ' Трепанобиопсия с последующим цитологическим исследованием пунктата', '  Определение суточной экскреции кальция и фосфор', ' антитела', 'Общий анализ крови', ' Бактериологическое исследование пунктата суставной полости', ' Определение уровня кальцитонина в крови', ' Общий анализ мочи', ' Биохимический анализ крови', ' Антинуклеарные антитела', ' Иммунограмма', ' Микроскопическое исследование пунктата суставной полости', ' Тесты на различние антитела'}"
Маммолог,"{' специфические выделения из сосков', ' нарушения менструального цикла', ' явная несимметричность грудей', ' уплотнения в молочной железе', ' изменение пигментации', 'боли в груди', ' втянутость сосков или изменение формы'}","{' Анализ мочи', ' Маммография', ' Ультразвуковое исследование щитовидной железы/печени/желчевыводящей системы/почек', ' Анализ крови на онкомаркеры', ' Гормональные исследования', ' Ультразвуковое исследование молочных желез', ' Общий анализ крови', 'Радиотермометрия молочных желез', ' Трансвагинальное ультразвуковое исследование'}"
Андролог,"{' проблемы с зачатием', 'нарушения эрекции', ' изменение формы или плотности половых органов', ' боли и дискомфорт в области половых органов'}","{' ПСА – тест', 'Спермограмма', ' Анализ крови на гормоны'}"
Онколог,"{' уплотнения в любой части тела', 'частые необъяснимые кровотечения из внутренних органов и из носа', ' кожные новообразования', ' беспричинная потеря волос'}","{' Анализ на онкомаркеры', ' Биохимия', ' Анализ кала/мочи', 'Общий анализ крови'}"
Офтальмолог,"{'нарушение зрения', ' выпадение ресниц', ' дискомфортные ощущения в глазах', ' изменения формы или цвета глазных тканей', ' рябь в глазах'}","{' Hbs/hCV/RW/ВИЧ', 'Общий анализ крови', ' Глюкоза крови', ' Заключение терапевта Флюорография - заключение (без снимка)', ' Общий анализ мочи', ' Заключение стоматолога', ' ЭКГ', ' Рентгенография придаточных пазух носа', ' Заключение отоларинголога', ' Время свертываемости крови'}"
Аллерголог,"{' зуд', ' пятна', ' чихание', ' отечность', ' ринорея (насморк)', 'слезотечение', ' покраснение', ' кашель'}","{' Анализ крови на иммуноглобулин Е', ' Кожные пробы', ' Аппликационный и элиминационный тесты', 'Общий анализ крови', ' Анализ крови на иммуноглобулин G'}"
Психолог,"{' неспособность найти общий язык с окружающими', ' неспособность справляться с проблемами', ' проблемы в семье', 'постоянная подавленность'}",{'нет'}
Сомнолог,"{' сонливость', ' храп', ' ишемия', ' гипертония', 'бессонница'}","{' Кардиореспираторный мониторинг', ' Электронейромиография (ЭНМГ)', 'ЭЭГ', ' Полисомнография'}"
Гепатолог,"{' изменение цвета кожи', ' изменение цвета кала или мочи', ' тяжесть и чувство дискомфорта в области печени', 'боли в правом подреберье'}","{'Общий анализ крови', ' Общий анализ мочи', ' Биохимический анализ крови'}"
Флеболог,"{' расширение вен', ' сосудистые звездочки', ' судороги', 'боль в ногах', ' отечность к вечеру'}","{' Аггрегация тромбоцитов', ' Свертывающая система или гемостазиограмма (ТВ/АЧТВ/ПТИ/МНО/Фибриноген)', ' Протеины С и S', 'Общий анализ крови', ' Биохимические анализы', ' D-димер'}"
Косметолог,{'врожденные или приобретенные дефекты внешности человека'},{'нет'}
Ортопед,"{'боль в спине', ' проблемы суставов и связок', ' нарушение осанки', ' ломота в костях', ' опухание суставов', ' боль или хруст в суставах', ' ломота в мышцах'}","{' Анализ мочи', ' Анализ на микроэлементы и другие показатели', ' Замер протромбинового и тромбопластинового времени и фибриногена', ' Исследование свертываемости крови', 'Общий анализ крови'}"
Невролог,"{' боль в шее', ' боль в спине', 'нарушение сна', ' шум в ушах', ' головокружения', ' головная боль при изменении погоды'}","{' Магнитно-резонансная томография (МРТ) головного мозга или позвоночника', ' Рентгенологические исследования', ' Лабораторные исследования', 'Электронейромиография (ЭНМГ)', ' Компьютерная томография (КТ) головного мозга/позвоночника', ' Электроэнцефалография (ЭЭГ)', ' Ультразвуковая энцефалоскопия (УЭС)', ' Ультразвуковые исследования сосудов шеи и головного мозга'}"
Психотерапевт,"{' плохой сон', ' паника', ' неспособность нормально функционировать', 'тревога', ' неспособность нормально осознавать себя и окружающих'}","{'Биохимический анализ крови', ' Гормоны щитовидной железы', ' Определение концентрации препарата в крови (в частности', ' лития)'}"
Психиатр,"{' вспышки агрессии', ' постоянная сонливость', 'постоянное чувство тревоги', ' нарушения работы памяти', ' чувство страха (вообще или боязни конкретных объектов или ситуаций)'}","{'Биохимический анализ крови', ' Гормоны щитовидной железы', ' Определение концентрации препарата в крови (в частности', ' лития)'}"
Нарколог,"{' алкоголизм', ' компьютерная зависимость', ' наркозависимость', 'курение'}","{' PCR диагностика', ' Общий анализ мочи', ' Анализы на аллергию', ' Анализы на гормоны', ' Биохимия крови', ' Анализ на наркотики', 'Общий анализ крови', ' Биохимия мочи'}"
Инфекционист,"{' сонливость', 'сильные головные боли', ' ломота в суставах', ' бессонница', ' быстрая утомляемость', ' нарушения в работе желудочно-кишечного тракта', ' ломота в мышцах'}","{' ПЦР-диагностика', ' ИФА - иммуноферментный анализ крови', ' Анализы на определение маркеров в крови на предмет вирусного гепатита', ' Серологическая диагностика на предмет кишечных и респираторных заболеваний', ' Биохимический анализ крови', 'Посев и мазок на флору'}"
Стоматолог,"{' реакция на кислое-сладкое/холодное-горячее', ' кровоточивость десен', 'боль в зубах', ' язвочки на внутренней поверхности щек', ' пигментация эмали'}","{' Коагулограмма', ' нет', ' Биохимический анализ крови', 'Общий анализ крови', ' Анализ на резус-фактор', ' Анализ на ВИЧ/СПИД'}"
Проктолог,"{' кровотечение или боли при дефекации', 'дискомфорт в области прямой кишки или ануса', ' недержание кала', ' геморрой', ' запоры или диарея', ' прианальные боли'}","{' Показатели свертываемости крови', ' Общий анализ мочи', ' Обследование на ВИЧ и сифилис', 'Общий анализ крови', ' Глюкоза крови'}"
Гематолог,"{' покалывание и онемение кончиков пальцев', 'повышения температуры', ' ухудшение аппетита', ' бледность кожи', ' появлению синяков'}","{' Коагулограмма', ' Биохимический анализ крови (включая определение параметров обмена железа/витамина В12/фолиевой кислоты)', ' Генетический анализ', 'Клинический анализ крови'}"
Акушер-гинеколог,"{'задержка менструации', ' болезненные ощущения в молочных железах', ' токсикоз', ' повышение базальной температуры'}","{' Анализ крови на TORCH-инфекции', ' Анализ крови на группу крови и резус-фактор', ' Определение глюкозы венозной крови', 'Общий анализ мочи', ' Анализ на сифилис', ' Анализ крови на ВИЧ', ' Анализ на гепатиты В и С', ' Анализ крови на ТТГ', ' Коагулограмма', ' Клинический анализ крови', ' Биохимический анализ крови', ' Гинекологический мазок на флору и онкоцитологию из шейки матки', ' ЭКГ'}"
Мануальный терапевт,"{' головокружения', ' скованность позвоночника', 'боли в позвоночнике', ' боли в суставах', ' головные боли'}","{'Общие анализы крови и мочи', ' Кардиограмму', ' Рентгенограмма позвоночника'}"
Сурдолог,"{' тугоухость', 'воспаление барабанной перепонки', ' шум в ушах'}","{' Электрокохлеография', ' Рефлексометрия', ' Тимпанометрия', ' Отомикроскопия', 'Аудиометрия'}"
Трихолог,"{' сыпь', 'зуд', ' шелушение кожи головы', ' выпадение волос', ' сухость или жирность волос', ' покраснение'}","{' Анализ на гормоны щитовидной железы', 'Клинический анализ крови', ' Биохимический анализ крови'}"
Педиатр,"{' запоры или диарея', ' понос', ' рвота', ' нарушения в работе желудочно-кишечного тракта', 'боль в животе', ' появление кожных реакций (дерматиты)'}","{'Анализы крови', ' Общий анализ мочи', ' Общий и на глюкозу'}"
УЗИ-специалист,"{'боли в районе малого таза', ' боли в почках', ' признаки патологии сердца'}","{' УЗИ органов брюшной полости', ' УЗИ мочевого пузыря', ' УЗИ щитовидной железы', ' почек/надпочечников/мочеточников', ' УЗИ предстательной железы', ' УЗИ молочных желез', 'УЗИ матки и яичников'}"
