Доктора,Наиболее встречающаяся симптоматика,Наиболее встречающиеся анализы
Ревматолог,"{' боли и отек в суставах', 'ощущение скованности', ' набухание и отечность височных артерий', ' подкожные узлы', ' боли в коленях', ' ограничение движений', ' дискомфорт и боли в пояснице'}","{' Цитологическое и бактериологическое исследование соскоба уретры и цервикального канала', ' Тесты на различние антитела', ' Гистологическое исследование биоптата', ' Микроскопическое исследование спинномозговой жидкости', ' Микроскопическое исследование пунктата суставной полости', ' антитела', ' Антинуклеарные антитела', ' Цитологическое исследование пунктата суставной полости', ' Определение уровня витамина Д в крови', ' Определение уровня паратгормона в крови', ' Иммунограмма', '  Определение суточной экскреции кальция и фосфор', ' Анализ на тропонины', ' Биохимический анализ крови', ' Определение в крови антител к вирусным гепатитам', ' Определение уровня кальцитонина в крови', ' Анализ на  D-димеры', ' Трепанобиопсия с последующим цитологическим исследованием пунктата', 'Общий анализ крови', ' Бактериологическое исследование пунктата суставной полости', ' Антицитруллиновые антитела', ' Анализы на антиген HLA-B27', ' Коагулограмма', ' Общий анализ мочи', ' Исследование крови на ВИЧ', ' Анализ на онкомаркеры'}"
Хирург,"{' кровотечения', ' гнойники', 'последствиями травм (болезней)', ' изменение цвета кожи', ' долго не заживающие раны', ' ожоги', ' порезы'}","{'Общий анализ мочи', ' Определение группы крови и резус-фактора', ' Рентгенография грудной клетки с описанием', ' Биохимический анализ крови (глюкоза/общий белок/билирубин общий и прямой/АЛТ/АСТ/ЩФ/креатинин и т.п.)', ' Коагулограмма', ' Анализ крови на Гепатит В/С/ВИЧ/сифилис', ' ЭКГ с расшифровкой', ' Клинический (общий) анализ крови'}"
Маммолог,"{' нарушения менструального цикла', ' специфические выделения из сосков', ' изменение пигментации', ' втянутость сосков или изменение формы', 'боли в груди', ' явная несимметричность грудей', ' уплотнения в молочной железе'}","{' Анализ крови на онкомаркеры', ' Общий анализ крови', ' Ультразвуковое исследование щитовидной железы/печени/желчевыводящей системы/почек', ' Трансвагинальное ультразвуковое исследование', ' Гормональные исследования', ' Маммография', 'Радиотермометрия молочных желез', ' Ультразвуковое исследование молочных желез', ' Анализ мочи'}"
Пульмонолог,"{' боли в области груди', ' приступы удушья', ' кровь в мокроте', 'заболеваний дыхательных путей', ' сухой или влажный кашель', ' затрудненность дыхания'}","{' Анализ сыворотки крови на определение уровня специфических антител', 'Сирометрия', ' Бронхоскопия', ' Рентгенограмма грудной клетки', ' УЗИ брюшной полости Общий анализ крови', ' Компьютерная томография грудной клетки', ' Ингаляционные пробы', ' Анализ мочи'}"
Сомнолог,"{' гипертония', ' ишемия', 'бессонница', ' сонливость', ' храп'}","{' Кардиореспираторный мониторинг', ' Электронейромиография (ЭНМГ)', 'ЭЭГ', ' Полисомнография'}"
Трихолог,"{' выпадение волос', ' шелушение кожи головы', 'зуд', ' сыпь', ' покраснение', ' сухость или жирность волос'}","{' Биохимический анализ крови', 'Клинический анализ крови', ' Анализ на гормоны щитовидной железы'}"
Педиатр,"{' рвота', ' нарушения в работе желудочно-кишечного тракта', ' запоры или диарея', ' понос', 'боль в животе', ' появление кожных реакций (дерматиты)'}","{' Общий анализ мочи', 'Анализы крови', ' Общий и на глюкозу'}"
Ортопед,"{'боль в спине', ' боль или хруст в суставах', ' ломота в мышцах', ' проблемы суставов и связок', ' ломота в костях', ' нарушение осанки', ' опухание суставов'}","{'Общий анализ крови', ' Замер протромбинового и тромбопластинового времени и фибриногена', ' Исследование свертываемости крови', ' Анализ на микроэлементы и другие показатели', ' Анализ мочи'}"
Кардиолог,"{' нарушение пульса', ' одышка', ' вялость', ' повышение или понижение давления', 'боли в груди', ' боли в области сердца', ' биения'}","{' Аланинаминотрансфераза и гама-глютамлтрансфераза', ' Аспартатаминотрансфераза', ' Биохимический анализ крови', ' ЛПВП', ' Креатинин и мочевина', ' Общий анализ крови', ' Свежая электрокардиограмма (ЭКГ)', 'Общий анализ на холестерин', ' Общий анализ мочи', ' Анализ крови на глюкозу (определение уровня сахара в организме)'}"
Аллерголог,"{' кашель', ' ринорея (насморк)', ' пятна', 'слезотечение', ' зуд', ' отечность', ' покраснение', ' чихание'}","{' Аппликационный и элиминационный тесты', ' Кожные пробы', 'Общий анализ крови', ' Анализ крови на иммуноглобулин G', ' Анализ крови на иммуноглобулин Е'}"
Отоларинголог,"{' болезненность языка', ' заложенность носа', ' воспаление миндалин', 'нарушение дыхания', ' шум в ушах', ' боль в горле или области лица', ' выделение из носа и ушей'}",{'Общий анализ крови и мочи'}
Колопроктолог,"{' кровотечения', 'дискомфорт в области прямой кишки или ануса'}","{' Показатели свертываемости крови', ' Общий анализ мочи', ' Обследование на ВИЧ', 'Общий анализ крови', ' Глюкоза крови', ' Обследование на сифилис'}"
Аритмолог,"{'патологические нарушения сердечного ритма разной степени интенсивности', ' учащенное и замедленное сердцебиение'}","{' Общий анализ мочи', 'Общий анализ крови', ' Кардиориск', ' Диагностика атеросклероза'}"
Гепатолог,"{' тяжесть и чувство дискомфорта в области печени', ' изменение цвета кала или мочи', 'боли в правом подреберье', ' изменение цвета кожи'}","{' Общий анализ мочи', ' Биохимический анализ крови', 'Общий анализ крови'}"
Миколог,"{'язв между пальцами ног', ' ломкость ногтей и волос', ' перхоть', ' шелушение кожи головы', ' пятна', ' сыпь'}","{' Витамин (Д/В6/В12/гомоцистеин)', 'Общий анализ крови', ' Ген МСМ6', ' Узи брюшной полости', ' Биохимический анализ крови(Алат/Аса/ГГТ/холестерин/креатенин/глюкоза/инсулин/щелочная фосфатаза/билирубин (общий и прямой-непрямой)/общий белок/мочевая кислота/сывороточное железо/ферритин)'}"
Сексолог,"{'отсутствие сексуального влечения', ' боли при мастурбации', ' отсутствие удовольствия во время полового акта', ' отсутствие оргазма', ' боли во время полового акта'}","{' Анализ крови на гормоны', 'Общий и клинический анализы крови', ' УЗИ щитовидной железы'}"
Терапевт,"{'повышение температуры', ' кашель', ' боль в животе', ' боль в грудной клетке'}","{' Анализ на амилаза панкреатическая', ' Анализ на железо/кальций/глюкозу', ' Анализ на ферменты печени', ' Анализ на Холестерин (холестерол) и триглицериды', 'Клинический анализ крови'}"
Невролог,"{' головная боль при изменении погоды', ' боль в спине', ' шум в ушах', ' головокружения', 'нарушение сна', ' боль в шее'}","{' Электроэнцефалография (ЭЭГ)', ' Ультразвуковая энцефалоскопия (УЭС)', ' Ультразвуковые исследования сосудов шеи и головного мозга', ' Рентгенологические исследования', ' Лабораторные исследования', ' Компьютерная томография (КТ) головного мозга/позвоночника', 'Электронейромиография (ЭНМГ)', ' Магнитно-резонансная томография (МРТ) головного мозга или позвоночника'}"
Проктолог,"{' кровотечение или боли при дефекации', ' прианальные боли', ' геморрой', ' запоры или диарея', ' недержание кала', 'дискомфорт в области прямой кишки или ануса'}","{' Показатели свертываемости крови', ' Общий анализ мочи', 'Общий анализ крови', ' Обследование на ВИЧ и сифилис', ' Глюкоза крови'}"
Иммунолог,"{' нарушения в работе желудочно-кишечного тракта', ' частые обострения герпеса', ' ломота в суставах', ' ломота в мышцах', 'хроническая усталость', ' сонливость', ' частые простудные заболевания', ' головные боли'}","{'Общие анализы крови и мочи', ' Анализы на содержание гормонов в щитовидной железе'}"
Гематолог,"{' ухудшение аппетита', ' бледность кожи', ' покалывание и онемение кончиков пальцев', ' появлению синяков', 'повышения температуры'}","{' Коагулограмма', ' Биохимический анализ крови (включая определение параметров обмена железа/витамина В12/фолиевой кислоты)', 'Клинический анализ крови', ' Генетический анализ'}"
Офтальмолог,"{' рябь в глазах', ' выпадение ресниц', ' изменения формы или цвета глазных тканей', ' дискомфортные ощущения в глазах', 'нарушение зрения'}","{' Заключение терапевта Флюорография - заключение (без снимка)', ' Заключение стоматолога', ' Заключение отоларинголога', ' ЭКГ', ' Hbs/hCV/RW/ВИЧ', 'Общий анализ крови', ' Общий анализ мочи', ' Рентгенография придаточных пазух носа', ' Глюкоза крови', ' Время свертываемости крови'}"
Уролог,"{' недержание кала', ' частые позывы', ' рези при мочеиспускании', ' кровь или гной в моче', 'боли в области мочевого пузыря и поясницы'}","{' Внутривенная урография', ' Забор секрета предстательной железы', ' Сбор посева спермы', ' Подготовка к УЗИ мочевого пузыря', ' Спермограмма', ' Кровь на простатспецифический антиген (ПСА)', 'Анализы мочи', ' Мазки на инфекции передающиеся половым путем', ' Кровь на гормональные анализы'}"
Гомеопат,"{' нарушения в работе желудочно-кишечного тракта', ' гипертония', ' мигрень', 'неврозы', ' бессонница', ' головные боли'}",{'нет'}
Инфекционист,"{' быстрая утомляемость', ' нарушения в работе желудочно-кишечного тракта', ' бессонница', ' ломота в мышцах', ' сонливость', ' ломота в суставах', 'сильные головные боли'}","{' Серологическая диагностика на предмет кишечных и респираторных заболеваний', 'Посев и мазок на флору', ' ПЦР-диагностика', ' ИФА - иммуноферментный анализ крови', ' Биохимический анализ крови', ' Анализы на определение маркеров в крови на предмет вирусного гепатита'}"
Массажист,"{' боли и отек в суставах', ' нарушение осанки', 'боли в спине и пояснице'}",{'нет'}
Сурдолог,"{'воспаление барабанной перепонки', ' шум в ушах', ' тугоухость'}","{' Отомикроскопия', ' Рефлексометрия', ' Тимпанометрия', ' Электрокохлеография', 'Аудиометрия'}"
Гастроэнтеролог,"{' рвота', ' понос', 'острая боль в животе', ' боли после приема пищи', ' изжога'}","{' Эзофагоскопию', ' ФГДС с биопсией', ' УЗИ органов брюшной полости', 'Общий анализ крови', ' Ректоскопию', ' Общий анализ кала (копрограмм)', ' Биохимический анализ крови', ' Ректосигмоколоноскопию'}"
Венеролог,"{' жжение в половых органах', 'зуд', ' покраснение', ' специфическими выделениями с неприятным запахом'}","{' ИФА (иммуноферментный анализ)', 'Бакпосев (культуральный метод)', ' ПЦР (полимеразная цепная реакция)'}"
Психолог,"{' проблемы в семье', ' неспособность найти общий язык с окружающими', ' неспособность справляться с проблемами', 'постоянная подавленность'}",{'нет'}
Акушер-гинеколог,"{' повышение базальной температуры', 'задержка менструации', ' болезненные ощущения в молочных железах', ' токсикоз'}","{' Анализ крови на TORCH-инфекции', ' Анализ крови на ТТГ', ' Биохимический анализ крови', ' Гинекологический мазок на флору и онкоцитологию из шейки матки', ' Анализ крови на группу крови и резус-фактор', ' Определение глюкозы венозной крови', ' ЭКГ', 'Общий анализ мочи', ' Клинический анализ крови', ' Коагулограмма', ' Анализ на сифилис', ' Анализ на гепатиты В и С', ' Анализ крови на ВИЧ'}"
Флеболог,"{' расширение вен', 'боль в ногах', ' отечность к вечеру', ' судороги', ' сосудистые звездочки'}","{' D-димер', ' Аггрегация тромбоцитов', 'Общий анализ крови', ' Протеины С и S', ' Свертывающая система или гемостазиограмма (ТВ/АЧТВ/ПТИ/МНО/Фибриноген)', ' Биохимические анализы'}"
Психотерапевт,"{' плохой сон', ' неспособность нормально функционировать', ' паника', ' неспособность нормально осознавать себя и окружающих', 'тревога'}","{' Гормоны щитовидной железы', 'Биохимический анализ крови', ' Определение концентрации препарата в крови (в частности', ' лития)'}"
Гинеколог,"{' нарушения менструального цикла', ' выделения в половых органах', ' боли при мочеиспускании', ' жжение в половых органах', 'зуд', ' боли в области придатков'}","{' Анализ крови на онкомаркеры', ' ПЦР', ' Исследования крови (общий и биохимический анализ крови/анализ на гепатит/ВИЧ/сифилис)', 'Мазок'}"
Диетолог,"{' гормональные нарушения', ' пониженный иммунитет', 'избыточный или недостаточный вес', ' нарушения аппетита', ' сахарный диабет'}","{' Анализ на гормон кортизол', ' Анализ на содержание глюкозы в крови', ' Ферментативный анализ работы поджелудочной железы', ' Анализ крови на гликированный гемоглобин', ' Т3 и Т4)', ' Биохимический анализ крови', 'Общий развернутый анализ крови', 'Анализ на гормоны щитовидной железы (ТТГ'}"
